Emily Blair,92,emilyblair109@yahoo.com,,30415670464829,XVG-591,2021-01-07 07:49:00,46.252383,
Tiffany Carter,56,tiffanycarter1380@hotmail.com,,6011483090841596,HYY-762,2021-01-23 09:53:31,46.252953,20.141322
Dr. Szabóné Vass Kinga Ildikó,99,drszabónévasskingaildikó1314@gmail.com,+36 20 954 3071,4815122239286130,MFE-599,2021-01-17 23:47:26,46.253845,20.140458
Simon J. Zoltán,62,simonjzoltán1542@gmail.com,+36 50 536 9797,565986370411,OKG-931,2021-01-01 15:55:01,46.253114,20.140488
Martha Brown,82,marthabrown729@yahoo.com,+36 20 333 4807,4947447951960039,FTL-792,2021-01-26 00:46:33,46.252227,20.140613
Rácz Tamás György,99,,+36 50 680 9328,4969278752005267,FNE-169,2021-01-08 12:51:05,46.253038,20.141491
Takács D. Réka,97,takácsdréka589@yahoo.com,+36 20 992 3088,376969262698501,CKZ-584,2021-01-24 19:31:01,46.253650,20.141282
Gabriel Rodriguez,80,gabrielrodriguez1033@hotmail.com,+36 20 017 2320,4718371075386,VSE-397,2021-01-05 05:33:58,46.253997,20.140885
Dr. J. Takács Andrea,93,,+36 30 874 9931,213164623023477,LYR-137,2021-01-25 18:17:17,46.252595,20.141116
Emily Blair,65,,+36 20 512 8920,4523572056728494,QKA-318,2021-01-10 01:13:27,46.253045,20.141794
Emily Blair,73,emilyblair1203@gmail.com,,4975399718922,MTF-369,2021-01-11 05:41:35,46.252470,20.140682
Tiffany Carter,90,tiffanycarter1351@gmail.com,,6011262251218186,SKD-449,2021-01-04 04:16:46,46.253421,20.141840
Emily Blair,65,,+36 20 512 8920,4523572056728494,QKA-318,2021-01-16 22:25:12,46.252058,20.141208
Ruth Hoffman,18,,+36 50 295 3262,2270828836644107,ELZ-866,2021-01-09 15:59:01,46.252879,20.141454
Rácz Tamás György,85,rácztamásgyörgy944@gmail.com,+36 30 284 1287,372165540655090,HNB-855,2021-01-02 02:47:16,46.253584,20.140746
Tóthné Pap Zsuzsanna,68,,+36 70 992 1544,501810923695,RFK-242,2021-01-07 05:23:01,46.252171,20.140529
Jeffrey Brown,30,,+36 70 397 3184,4423519430028393943,GBG-352,2021-01-18 07:34:47,46.252904,20.141767
Nicole Richardson,81,,+36 30 232 7738,3591583085425878,WSU-532,2021-01-27 09:47:03,46.253620,20.141796
Elizabeth Tyler,99,elizabethtyler1158@yahoo.com,+36 70 332 9849,4668139461382146,EKE-109,2021-01-14 03:25:09,46.252432,20.140597
Natalie Hutchinson,94,nataliehutchinson1768@gmail.com,,4677863288016,HWP-572,2021-01-09 11:57:56,46.253704,20.140623
Tiffany Carter,92,,+36 50 322 8036,36806503069187,KSL-752,2021-01-31 14:53:27,46.252240,20.141811
Tóth Jánosné Takács Brigitta,78,,+36 70 091 2057,501866770057,UXZ-148,2021-01-17 04:18:28,46.252257,20.142010
Bognárné Nagy Nikoletta Nóra,40,bognárnénagynikolettanóra12@gmail.com,+36 20 858 0901,349966153164811,XAD-030,2021-01-27 02:00:31,46.253777,20.141123
Tiffany Carter,33,tiffanycarter1791@gmail.com,+36 70 439 1518,4192944046003,CNG-994,2021-01-13 12:25:03,46.253082,20.141814
Horváth Szilágyi Erzsébet,42,,+36 20 973 6908,630450850916,ZBF-985,2021-01-26 11:19:13,46.252408,20.141835
Dr. J. Takács Andrea,63,drjtakácsandrea1014@hotmail.com,,4504984376886,BRB-646,2021-01-11 23:39:13,46.252480,20.142123
Jennifer Bender,94,,+36 70 144 5914,3508346805871728,AWK-065,2021-01-22 11:54:17,46.252546,20.141253
Rácz Tamás György,85,rácztamásgyörgy944@gmail.com,+36 30 284 1287,372165540655090,HNB-855,2021-01-09 22:53:53,46.253679,20.141293
D. Hegedüs Dávid,39,dhegedüsdávid1583@yahoo.com,+36 20 620 5659,4485757738782758204,FJR-985,2021-01-29 00:52:06,46.253235,20.141752
Emily Blair,92,emilyblair109@yahoo.com,,30415670464829,XVG-591,2021-01-23 20:20:58,46.253767,20.142089
Dr. Tóth Lászlóné,89,,+36 30 587 4372,503875930789,KSM-094,2021-01-21 08:54:02,46.253490,20.141401
James Dunn,95,,+36 70 983 0817,4809876563960525358,QKP-910,2021-01-18 20:58:57,46.252177,20.140713
Dr. J. Takács Andrea,63,drjtakácsandrea1014@hotmail.com,,4504984376886,BRB-646,2021-01-02 04:45:42,46.253387,20.140639
Jeffrey Brown,81,jeffreybrown1837@gmail.com,+36 70 469 9308,2243845288010243,FMS-421,2021-01-02 12:39:35,46.253142,20.141638
Jennifer Bender,89,jenniferbender921@hotmail.com,,4072208878828478,SWP-164,2021-01-22 01:35:42,46.253440,20.142122
Martha Brown,64,marthabrown1884@yahoo.com,,6583771414533719,LYV-597,2021-01-13 14:57:25,46.252131,20.142011
Darlene Scott,99,darlenescott1246@gmail.com,+36 70 950 8925,2241450885448003,QDA-008,2021-01-17 02:31:23,46.253822,20.141577
Emily Blair,42,,+36 70 556 8853,213165756722751,YDK-691,2021-01-05 03:37:29,46.253957,20.141719
Nicole Richardson,81,,+36 30 232 7738,3591583085425878,WSU-532,2021-01-27 18:28:55,46.253367,20.141083
Jeffrey Brown,35,,+36 50 299 9702,3592837824261443,YSX-569,2021-01-29 17:15:18,46.253510,20.142058
Elizabeth Tyler,99,elizabethtyler1158@yahoo.com,+36 70 332 9849,4668139461382146,EKE-109,2021-01-23 01:05:57,46.252935,20.141267
Tiffany Carter,34,tiffanycarter493@yahoo.com,,3577604986346316,WRD-984,2021-01-27 10:04:43,46.253522,20.141609
Rácz Tamás György,87,rácztamásgyörgy219@gmail.com,+36 70 240 2909,4399293046970734415,WOY-200,2021-01-05 10:47:44,46.253784,20.141993
Jennifer Bender,27,jenniferbender27@gmail.com,+36 30 278 3998,4348625186092,ZBK-816,2021-01-30 12:50:46,46.253497,20.141667
Jeffrey Brown,58,,+36 70 152 5186,2246985093497495,YIE-295,2021-01-25 11:14:59,46.252176,20.141852
Martha Brown,34,,+36 70 318 2910,4901326173094781,HLK-979,2021-01-22 19:03:54,46.253336,20.142396
Kimberly Pratt,79,kimberlypratt715@gmail.com,+36 70 927 7319,4665756303273,VTZ-305,2021-01-28 13:00:05,46.252944,20.140427
Dr. J. Takács Andrea,93,,+36 30 874 9931,213164623023477,LYR-137,2021-01-19 12:33:50,46.253385,20.141452
Gabriel Rodriguez,98,,+36 50 022 6889,4985762340418109654,OVR-646,2021-01-05 15:11:36,46.252565,20.142386
Emily Blair,92,emilyblair109@yahoo.com,,30415670464829,XVG-591,2021-01-01 10:23:09,46.253392,20.140960
